epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.9153,1.31252,1.84137,1.03637,0.80283,0.64721,0.81948,0.60476,0.91776,1.203,0.88833,0.000194432,0.000194432,0.000194432
2,42.3616,1.14204,0.90457,0.98622,0.7413,0.84882,0.87907,0.64999,0.91092,0.93406,0.89291,0.000387855,0.000387855,0.000387855
3,62.9987,1.12581,0.85103,0.98822,0.8177,0.83257,0.91332,0.67724,0.9439,0.86703,0.89809,0.000578691,0.000578691,0.000578691
4,83.0209,1.09055,0.76131,0.96643,0.82773,0.84425,0.92532,0.69485,0.89735,0.79127,0.88529,0.000576358,0.000576358,0.000576358
5,102.994,1.06255,0.71249,0.95944,0.90265,0.86364,0.95621,0.68817,1.01073,0.76641,0.91645,0.000572477,0.000572477,0.000572477
6,122.733,1.05482,0.67369,0.96565,0.92325,0.90349,0.97046,0.76918,0.8692,0.62387,0.86983,0.000568596,0.000568596,0.000568596
7,143.356,1.00707,0.62849,0.94452,0.94323,0.93801,0.97863,0.76525,0.82559,0.58802,0.86311,0.000564715,0.000564715,0.000564715
8,163.718,1.00053,0.61359,0.94667,0.93622,0.93804,0.97278,0.77235,0.81725,0.5694,0.85908,0.000560834,0.000560834,0.000560834
9,183.975,1.00714,0.60987,0.94384,0.93825,0.92252,0.97362,0.78064,0.77934,0.55924,0.85064,0.000556954,0.000556954,0.000556954
10,204.041,0.97121,0.59432,0.94373,0.95162,0.91454,0.96963,0.77824,0.79025,0.57819,0.85461,0.000553073,0.000553073,0.000553073
11,223.867,0.9868,0.60527,0.94278,0.93691,0.93572,0.97477,0.77953,0.80032,0.56575,0.85835,0.000549192,0.000549192,0.000549192
12,243.857,0.94575,0.56881,0.931,0.95746,0.92423,0.9784,0.78759,0.78034,0.52837,0.8525,0.000545311,0.000545311,0.000545311
13,264.68,0.95061,0.56628,0.93314,0.92142,0.9481,0.97345,0.7663,0.87731,0.57618,0.86964,0.00054143,0.00054143,0.00054143
14,284.542,0.95748,0.56145,0.93708,0.94609,0.92091,0.97649,0.79517,0.74351,0.53386,0.84747,0.00053755,0.00053755,0.00053755
15,304.477,0.93928,0.5362,0.9336,0.94106,0.94599,0.97674,0.79396,0.73791,0.49386,0.84935,0.000533669,0.000533669,0.000533669
16,323.898,0.93623,0.52276,0.93281,0.93505,0.93236,0.96375,0.78295,0.77819,0.54576,0.84915,0.000529788,0.000529788,0.000529788
17,343.513,0.94263,0.52574,0.93133,0.94398,0.90972,0.96756,0.77954,0.78653,0.54296,0.85702,0.000525907,0.000525907,0.000525907
18,363.284,0.91863,0.51759,0.9211,0.9383,0.96645,0.97769,0.78933,0.7746,0.4986,0.85715,0.000522026,0.000522026,0.000522026
19,382.928,0.90972,0.51138,0.91963,0.94287,0.95726,0.97627,0.79843,0.7517,0.4959,0.84864,0.000518146,0.000518146,0.000518146
20,403.367,0.89046,0.49343,0.91763,0.92312,0.94842,0.9748,0.79473,0.75897,0.52349,0.85678,0.000514265,0.000514265,0.000514265
21,424.591,0.8997,0.49737,0.92115,0.95299,0.91572,0.97499,0.78719,0.75957,0.52118,0.84933,0.000510384,0.000510384,0.000510384
22,445.906,0.92023,0.50772,0.92504,0.93032,0.94708,0.97891,0.79774,0.75813,0.50136,0.84711,0.000506503,0.000506503,0.000506503
23,467.503,0.88769,0.49096,0.9212,0.96498,0.93451,0.97977,0.79488,0.73238,0.48544,0.84692,0.000502622,0.000502622,0.000502622
24,488.242,0.89383,0.49335,0.91702,0.90936,0.96539,0.97308,0.79984,0.7253,0.49229,0.84243,0.000498742,0.000498742,0.000498742
25,508.917,0.87593,0.4913,0.90851,0.94766,0.9505,0.96787,0.79159,0.73006,0.46435,0.84597,0.000494861,0.000494861,0.000494861
26,529.339,0.8844,0.4917,0.91888,0.93742,0.95746,0.98017,0.80389,0.74486,0.47967,0.84844,0.00049098,0.00049098,0.00049098
27,549.666,0.88949,0.48632,0.91661,0.94773,0.95818,0.97706,0.80081,0.73868,0.48984,0.8448,0.000487099,0.000487099,0.000487099
28,569.541,0.85691,0.44988,0.9142,0.94262,0.95889,0.98367,0.8046,0.7525,0.47084,0.85235,0.000483218,0.000483218,0.000483218
29,589.357,0.86907,0.46456,0.91571,0.94986,0.96282,0.97943,0.80917,0.73427,0.43368,0.84422,0.000479338,0.000479338,0.000479338
30,609.903,0.88516,0.46762,0.92145,0.95353,0.95254,0.97827,0.80099,0.73518,0.45671,0.84406,0.000475457,0.000475457,0.000475457
31,629.617,0.89388,0.47239,0.90824,0.93684,0.9624,0.97619,0.80824,0.71431,0.46501,0.84176,0.000471576,0.000471576,0.000471576
32,649.407,0.83418,0.45234,0.90047,0.95545,0.91697,0.97347,0.8009,0.71894,0.53817,0.84544,0.000467695,0.000467695,0.000467695
33,669.484,0.8708,0.46665,0.90987,0.96736,0.95604,0.98368,0.81488,0.71009,0.43825,0.84324,0.000463814,0.000463814,0.000463814
34,689.6,0.84303,0.45414,0.91067,0.93412,0.97256,0.98627,0.82211,0.70558,0.41332,0.83839,0.000459934,0.000459934,0.000459934
35,709.777,0.83443,0.45373,0.89841,0.95105,0.96701,0.98494,0.8154,0.70843,0.43631,0.84193,0.000456053,0.000456053,0.000456053
36,729.401,0.84764,0.44,0.90591,0.95453,0.96255,0.97756,0.80733,0.70874,0.43271,0.84249,0.000452172,0.000452172,0.000452172
37,748.801,0.84096,0.43963,0.90398,0.95399,0.9641,0.98406,0.8159,0.71762,0.41601,0.84258,0.000448291,0.000448291,0.000448291
38,768.941,0.83585,0.43528,0.89533,0.92019,0.93044,0.97601,0.79395,0.73937,0.51085,0.84742,0.00044441,0.00044441,0.00044441
39,788.606,0.84433,0.44405,0.9038,0.95511,0.9265,0.97753,0.80482,0.73605,0.51523,0.84764,0.00044053,0.00044053,0.00044053
40,808.15,0.80268,0.42414,0.89367,0.92286,0.95628,0.97711,0.80866,0.69704,0.45378,0.84079,0.000436649,0.000436649,0.000436649
41,827.88,0.83774,0.43364,0.90093,0.96837,0.97746,0.98673,0.82207,0.69919,0.38702,0.84137,0.000432768,0.000432768,0.000432768
42,847.608,0.82527,0.42761,0.9008,0.96546,0.95753,0.9819,0.82588,0.68976,0.40157,0.8364,0.000428887,0.000428887,0.000428887
43,867.384,0.82826,0.42646,0.90208,0.96259,0.95268,0.98115,0.81332,0.70407,0.41202,0.84086,0.000425006,0.000425006,0.000425006
44,887.162,0.79573,0.41942,0.89224,0.95955,0.95149,0.98472,0.81766,0.71016,0.43318,0.84108,0.000421126,0.000421126,0.000421126
45,907.155,0.81255,0.42386,0.89353,0.95695,0.96773,0.98306,0.82073,0.68889,0.42164,0.83582,0.000417245,0.000417245,0.000417245
46,926.778,0.82035,0.41257,0.89833,0.95261,0.9824,0.98598,0.82681,0.68107,0.37618,0.83711,0.000413364,0.000413364,0.000413364
47,946.634,0.80094,0.4137,0.89563,0.97198,0.9706,0.98724,0.82421,0.70475,0.38701,0.83733,0.000409483,0.000409483,0.000409483
48,966.801,0.78851,0.41335,0.88331,0.96734,0.96941,0.98151,0.82337,0.69177,0.37521,0.83974,0.000405602,0.000405602,0.000405602
49,987.044,0.7888,0.41377,0.88666,0.96239,0.95709,0.98193,0.82072,0.69222,0.405,0.83893,0.000401722,0.000401722,0.000401722
50,1006.39,0.79415,0.41392,0.89272,0.95939,0.97905,0.98668,0.82847,0.68039,0.35972,0.83782,0.000397841,0.000397841,0.000397841
51,1026.32,0.80519,0.41075,0.89361,0.96597,0.97358,0.98657,0.81502,0.71572,0.37985,0.84422,0.00039396,0.00039396,0.00039396
52,1046.49,0.77789,0.40925,0.88434,0.97597,0.95403,0.98562,0.82307,0.69154,0.40081,0.83759,0.000390079,0.000390079,0.000390079
53,1066.36,0.78495,0.4085,0.89053,0.96129,0.95871,0.98537,0.81497,0.7071,0.40999,0.83935,0.000386198,0.000386198,0.000386198
54,1086.06,0.78824,0.4057,0.88728,0.96869,0.98134,0.9879,0.82517,0.68024,0.36281,0.83646,0.000382318,0.000382318,0.000382318
55,1105.54,0.76383,0.39159,0.88461,0.97297,0.9887,0.98895,0.82797,0.69219,0.34657,0.84237,0.000378437,0.000378437,0.000378437
56,1125.54,0.76544,0.38951,0.88412,0.97216,0.95341,0.98546,0.82455,0.69792,0.39062,0.83795,0.000374556,0.000374556,0.000374556
57,1145.48,0.78843,0.40544,0.8889,0.95558,0.96691,0.9805,0.81866,0.69118,0.39853,0.83653,0.000370675,0.000370675,0.000370675
58,1165.88,0.77094,0.39583,0.88586,0.97929,0.97041,0.98867,0.82965,0.67589,0.36691,0.83427,0.000366794,0.000366794,0.000366794
59,1185.7,0.77735,0.3963,0.87786,0.97877,0.96297,0.98676,0.83192,0.6668,0.37062,0.83417,0.000362914,0.000362914,0.000362914
60,1206.02,0.77588,0.38907,0.88873,0.95931,0.96394,0.98428,0.82508,0.66344,0.3758,0.83564,0.000359033,0.000359033,0.000359033
61,1225.96,0.75074,0.38723,0.8808,0.97296,0.95367,0.98142,0.82372,0.67671,0.37805,0.83464,0.000355152,0.000355152,0.000355152
62,1246.14,0.78124,0.39506,0.8853,0.96165,0.96121,0.98308,0.81566,0.68331,0.38379,0.83569,0.000351271,0.000351271,0.000351271
63,1266.59,0.77137,0.39175,0.88341,0.97073,0.98092,0.98557,0.83028,0.66849,0.35476,0.83613,0.00034739,0.00034739,0.00034739
64,1286.84,0.7593,0.38443,0.88499,0.96894,0.96495,0.98356,0.82039,0.71563,0.37822,0.83686,0.00034351,0.00034351,0.00034351
65,1305.96,0.75761,0.38176,0.88654,0.96635,0.96984,0.9868,0.83029,0.67095,0.36824,0.8357,0.000339629,0.000339629,0.000339629
66,1325.52,0.74053,0.37697,0.87512,0.98014,0.97291,0.98818,0.82404,0.69663,0.35716,0.84081,0.000335748,0.000335748,0.000335748
67,1345.57,0.74497,0.37743,0.87263,0.96137,0.96712,0.98205,0.82358,0.68457,0.36526,0.84011,0.000331867,0.000331867,0.000331867
68,1365.98,0.7409,0.37247,0.87157,0.9737,0.97061,0.9842,0.83151,0.66434,0.36543,0.8354,0.000327986,0.000327986,0.000327986
69,1385.78,0.74716,0.37604,0.88301,0.97979,0.96942,0.98695,0.83498,0.66923,0.36222,0.83485,0.000324106,0.000324106,0.000324106
70,1405.39,0.73097,0.37439,0.87277,0.97327,0.96257,0.98195,0.82336,0.66919,0.3794,0.83583,0.000320225,0.000320225,0.000320225
71,1424.38,0.74097,0.37837,0.88129,0.96904,0.96542,0.98501,0.83153,0.66377,0.36024,0.83367,0.000316344,0.000316344,0.000316344
72,1444.14,0.74457,0.37698,0.87715,0.97257,0.96963,0.98671,0.82972,0.68212,0.36524,0.83892,0.000312463,0.000312463,0.000312463
73,1464.35,0.754,0.37368,0.879,0.98259,0.96792,0.98775,0.8337,0.67149,0.35112,0.83445,0.000308582,0.000308582,0.000308582
74,1485.46,0.71961,0.36216,0.8706,0.97304,0.97281,0.98701,0.83202,0.68283,0.35398,0.83497,0.000304702,0.000304702,0.000304702
75,1507.1,0.72767,0.36396,0.87189,0.96099,0.98288,0.9853,0.828,0.66978,0.36872,0.83708,0.000300821,0.000300821,0.000300821
76,1527.73,0.71609,0.36324,0.87123,0.95858,0.9859,0.98596,0.83029,0.66159,0.36564,0.83404,0.00029694,0.00029694,0.00029694
77,1549.19,0.72945,0.37036,0.87199,0.96959,0.98401,0.98852,0.83751,0.65263,0.34593,0.83317,0.000293059,0.000293059,0.000293059
78,1571.1,0.72126,0.35968,0.87411,0.97685,0.96496,0.98859,0.83348,0.66178,0.35212,0.83547,0.000289178,0.000289178,0.000289178
79,1592.75,0.7271,0.35633,0.87629,0.97052,0.97719,0.98843,0.83034,0.66721,0.33464,0.83299,0.000285298,0.000285298,0.000285298
80,1615.79,0.72781,0.36322,0.87673,0.98046,0.96949,0.98937,0.83582,0.67483,0.34288,0.83438,0.000281417,0.000281417,0.000281417
81,1638.61,0.72336,0.35973,0.8733,0.97448,0.96902,0.98844,0.83456,0.65917,0.3473,0.82978,0.000277536,0.000277536,0.000277536
82,1661.47,0.71432,0.35494,0.87511,0.97419,0.97859,0.98916,0.84246,0.65977,0.34658,0.83337,0.000273655,0.000273655,0.000273655
83,1684.47,0.7106,0.35462,0.8662,0.96881,0.97818,0.98651,0.83359,0.66113,0.35421,0.83182,0.000269774,0.000269774,0.000269774
84,1706.92,0.70879,0.35365,0.8742,0.97214,0.95903,0.98581,0.82848,0.68218,0.36087,0.83447,0.000265894,0.000265894,0.000265894
85,1728.64,0.71584,0.35855,0.87324,0.97755,0.97207,0.98892,0.83615,0.67083,0.34425,0.83494,0.000262013,0.000262013,0.000262013
86,1750.44,0.70177,0.34876,0.86503,0.97588,0.97106,0.98793,0.83752,0.6557,0.34665,0.83211,0.000258132,0.000258132,0.000258132
87,1770.64,0.71546,0.35202,0.87074,0.97229,0.97197,0.98527,0.83344,0.6561,0.3409,0.83522,0.000254251,0.000254251,0.000254251
88,1790.58,0.7086,0.35103,0.87279,0.97271,0.95376,0.98617,0.83505,0.66924,0.37549,0.83412,0.00025037,0.00025037,0.00025037
89,1811.6,0.68762,0.34102,0.86274,0.97804,0.9693,0.98777,0.84143,0.65305,0.33903,0.83369,0.00024649,0.00024649,0.00024649
90,1831.56,0.69634,0.34517,0.86873,0.97051,0.96425,0.98556,0.83654,0.65946,0.35452,0.83116,0.000242609,0.000242609,0.000242609
91,1851.7,0.69076,0.34449,0.8709,0.97493,0.98154,0.98808,0.83593,0.66399,0.32222,0.8361,0.000238728,0.000238728,0.000238728
92,1872.17,0.689,0.34658,0.87026,0.97256,0.9775,0.98783,0.83996,0.64534,0.32355,0.83248,0.000234847,0.000234847,0.000234847
