epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.2713,1.32933,2.09548,1.03929,0.66732,0.63435,0.71855,0.52029,0.96086,1.49487,0.8924,0.000192889,0.000192889,0.000192889
2,42.0507,1.09896,0.94708,0.96059,0.75954,0.80362,0.85368,0.63834,0.9302,1.07439,0.88961,0.000387606,0.000387606,0.000387606
3,60.7144,1.07699,0.79691,0.96513,0.68876,0.69363,0.79061,0.53649,1.08104,1.34093,0.94773,0.000581029,0.000581029,0.000581029
4,78.224,1.09606,0.77163,0.9694,0.85106,0.86073,0.92318,0.71725,0.86037,0.80797,0.87715,0.000582179,0.000582179,0.000582179
5,95.5121,1.02401,0.7153,0.95695,0.8262,0.84633,0.90571,0.68499,0.94416,0.90777,0.88853,0.000580238,0.000580238,0.000580238
6,113.141,0.9949,0.66225,0.94213,0.90366,0.90248,0.9517,0.74914,0.80382,0.67112,0.87117,0.000578298,0.000578298,0.000578298
7,131.949,1.01627,0.62145,0.94836,0.93929,0.88512,0.96081,0.75692,0.80834,0.62846,0.8664,0.000576358,0.000576358,0.000576358
8,149.084,1.00071,0.61582,0.95271,0.88126,0.93483,0.96038,0.77194,0.7779,0.63472,0.86256,0.000574417,0.000574417,0.000574417
9,166.846,1.0013,0.5885,0.94678,0.92302,0.92513,0.96042,0.76743,0.79214,0.58218,0.85883,0.000572477,0.000572477,0.000572477
10,184.599,0.93497,0.57864,0.92502,0.90908,0.94658,0.9718,0.78643,0.76859,0.5517,0.85799,0.000570536,0.000570536,0.000570536
11,203.025,0.95625,0.57343,0.93432,0.93176,0.90561,0.96169,0.77331,0.78922,0.57853,0.86244,0.000568596,0.000568596,0.000568596
12,220.778,0.94741,0.54922,0.93042,0.92792,0.89406,0.96208,0.74721,0.8795,0.62914,0.88175,0.000566656,0.000566656,0.000566656
13,238.204,0.94181,0.5502,0.93078,0.90218,0.9078,0.96471,0.77642,0.77901,0.5872,0.85429,0.000564715,0.000564715,0.000564715
14,255.415,0.91604,0.53802,0.91835,0.93589,0.91471,0.96773,0.79231,0.75356,0.55343,0.85068,0.000562775,0.000562775,0.000562775
15,274.036,0.93563,0.52861,0.93014,0.92274,0.91833,0.96099,0.77841,0.76764,0.5686,0.85742,0.000560834,0.000560834,0.000560834
16,291.301,0.89224,0.51866,0.91533,0.936,0.94652,0.97514,0.79091,0.76685,0.51359,0.85748,0.000558894,0.000558894,0.000558894
17,308.521,0.92702,0.53154,0.92171,0.90329,0.9065,0.95825,0.77974,0.75833,0.62718,0.85411,0.000556954,0.000556954,0.000556954
18,325.46,0.89586,0.51821,0.91138,0.93193,0.92431,0.96348,0.78116,0.78805,0.5813,0.85581,0.000555013,0.000555013,0.000555013
19,343.265,0.89219,0.51728,0.91272,0.95486,0.92154,0.97244,0.79035,0.74697,0.50441,0.854,0.000553073,0.000553073,0.000553073
