epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1544,1.565,2.30112,1.15684,0.76417,0.84776,0.90082,0.65241,0.99665,0.9291,0.95517,0.000190842,0.000190842,0.000190842
2,23.4984,1.20853,0.86248,1.00713,0.92158,0.87137,0.95904,0.64781,1.18894,0.8041,1.03829,0.000379183,0.000379183,0.000379183
3,32.8092,1.12948,0.7279,0.99196,0.87408,0.94357,0.97735,0.61254,1.37054,0.71237,1.09117,0.000559762,0.000559762,0.000559762
4,41.8505,1.10063,0.65529,0.9832,0.96293,0.97217,0.98652,0.74143,0.91105,0.51543,0.94245,0.000553073,0.000553073,0.000553073
5,51.0185,1.08173,0.61284,0.98352,0.97747,0.96796,0.9878,0.72961,0.99274,0.48244,0.96971,0.00054143,0.00054143,0.00054143
6,59.9937,1.03406,0.58465,0.96091,0.97732,0.97415,0.98788,0.76331,0.88158,0.44158,0.9421,0.000529788,0.000529788,0.000529788
7,68.9646,1.05799,0.57796,0.96589,0.94757,0.95034,0.98021,0.76686,0.86622,0.47841,0.92683,0.000518146,0.000518146,0.000518146
8,77.8899,1.02013,0.54693,0.9616,0.96001,0.96382,0.98287,0.7514,0.90202,0.46284,0.93868,0.000506503,0.000506503,0.000506503
9,87.3364,1.00452,0.52754,0.96295,0.96997,0.98259,0.9863,0.77498,0.84831,0.42094,0.92971,0.000494861,0.000494861,0.000494861
10,96.2059,0.99917,0.52698,0.94883,0.97329,0.99301,0.98879,0.79037,0.82946,0.39562,0.92052,0.000483218,0.000483218,0.000483218
11,105.792,0.99423,0.51911,0.95172,0.96677,0.96812,0.98796,0.69631,1.16483,0.48431,1.03062,0.000471576,0.000471576,0.000471576
12,114.665,1.01486,0.51312,0.9553,0.97394,0.98614,0.98694,0.75625,0.93991,0.41398,0.94509,0.000459934,0.000459934,0.000459934
13,123.523,0.96207,0.49406,0.94113,0.97746,0.98584,0.98484,0.77512,0.87227,0.39826,0.92635,0.000448291,0.000448291,0.000448291
14,132.339,0.93685,0.48506,0.9442,0.96209,0.98512,0.97904,0.76296,0.90451,0.41736,0.94169,0.000436649,0.000436649,0.000436649
15,141.185,0.9637,0.49449,0.94055,0.97095,0.98076,0.98451,0.78439,0.84077,0.3963,0.91932,0.000425006,0.000425006,0.000425006
16,150.048,0.90619,0.46727,0.92927,0.98483,0.99027,0.98605,0.76272,0.90428,0.39057,0.93971,0.000413364,0.000413364,0.000413364
17,158.866,0.92635,0.46861,0.9356,0.96008,0.98732,0.98366,0.78247,0.83623,0.38168,0.91687,0.000401722,0.000401722,0.000401722
18,167.822,0.90796,0.45085,0.92343,0.98233,0.97553,0.98487,0.76347,0.86149,0.37645,0.93118,0.000390079,0.000390079,0.000390079
19,176.765,0.89738,0.45547,0.92955,0.97815,0.98973,0.98513,0.79411,0.81448,0.36502,0.90958,0.000378437,0.000378437,0.000378437
20,185.806,0.88438,0.4478,0.92162,0.9667,0.98478,0.98721,0.78965,0.8192,0.3574,0.91329,0.000366794,0.000366794,0.000366794
21,194.943,0.88143,0.44363,0.91911,0.96617,0.98606,0.98746,0.77041,0.86777,0.37402,0.92884,0.000355152,0.000355152,0.000355152
22,203.914,0.87332,0.44079,0.92015,0.97532,0.99242,0.9861,0.74398,0.95363,0.38127,0.95825,0.00034351,0.00034351,0.00034351
23,212.75,0.86495,0.43492,0.91667,0.98408,0.98927,0.98611,0.76977,0.89698,0.35948,0.92955,0.000331867,0.000331867,0.000331867
24,221.544,0.89446,0.44241,0.92816,0.97811,0.99301,0.98645,0.77258,0.91223,0.36233,0.93632,0.000320225,0.000320225,0.000320225
25,230.426,0.86652,0.43231,0.91636,0.98121,0.99301,0.98511,0.79342,0.7893,0.34413,0.90749,0.000308582,0.000308582,0.000308582
26,239.331,0.84119,0.41581,0.91841,0.98431,0.98661,0.98709,0.80084,0.77044,0.33617,0.90337,0.00029694,0.00029694,0.00029694
27,248.223,0.84271,0.4206,0.91965,0.97175,0.96457,0.98527,0.78977,0.80383,0.35546,0.90635,0.000285298,0.000285298,0.000285298
28,257.048,0.83155,0.40945,0.9091,0.97022,0.98752,0.98671,0.78742,0.82577,0.34549,0.92246,0.000273655,0.000273655,0.000273655
29,265.893,0.81729,0.40251,0.89906,0.96855,0.99301,0.98652,0.79431,0.81101,0.34622,0.9114,0.000262013,0.000262013,0.000262013
30,274.708,0.80275,0.3923,0.90525,0.98328,0.98596,0.98651,0.79908,0.78772,0.33659,0.90394,0.00025037,0.00025037,0.00025037
31,283.584,0.82305,0.40847,0.90741,0.97179,0.99179,0.98645,0.78823,0.84042,0.34067,0.92314,0.000238728,0.000238728,0.000238728
32,292.392,0.80618,0.39066,0.90551,0.98116,0.98806,0.98602,0.79214,0.83244,0.33583,0.91885,0.000227086,0.000227086,0.000227086
33,301.258,0.79708,0.39161,0.89298,0.97773,0.98596,0.9864,0.79516,0.80861,0.3413,0.90968,0.000215443,0.000215443,0.000215443
34,310.106,0.79844,0.3827,0.89767,0.96951,0.9903,0.98631,0.79505,0.82409,0.33543,0.90976,0.000203801,0.000203801,0.000203801
35,318.944,0.79491,0.39231,0.89497,0.97782,0.98621,0.98727,0.7957,0.81377,0.33456,0.91121,0.000192158,0.000192158,0.000192158
36,327.811,0.78776,0.37584,0.8981,0.98036,0.96406,0.98702,0.80383,0.78735,0.338,0.90241,0.000180516,0.000180516,0.000180516
37,336.724,0.77776,0.37815,0.89527,0.97829,0.98282,0.98597,0.79198,0.83135,0.33719,0.92529,0.000168874,0.000168874,0.000168874
38,345.524,0.77111,0.37264,0.89689,0.98242,0.9841,0.98667,0.80018,0.81515,0.32191,0.92042,0.000157231,0.000157231,0.000157231
39,354.37,0.76535,0.3713,0.89528,0.98405,0.97557,0.9863,0.79871,0.79361,0.33438,0.90762,0.000145589,0.000145589,0.000145589
40,363.182,0.76811,0.36848,0.89308,0.98147,0.98539,0.98609,0.81232,0.78127,0.31821,0.90354,0.000133946,0.000133946,0.000133946
41,399.317,0.75272,0.34301,0.91221,0.97737,0.9859,0.98729,0.79739,0.79884,0.32292,0.91399,0.000122304,0.000122304,0.000122304
42,408.08,0.72169,0.32626,0.90486,0.97379,0.98543,0.98666,0.79279,0.81954,0.33096,0.91517,0.000110662,0.000110662,0.000110662
43,416.826,0.74414,0.33102,0.91145,0.98057,0.98583,0.98587,0.7985,0.80482,0.31339,0.91128,9.90192e-05,9.90192e-05,9.90192e-05
44,425.562,0.72228,0.321,0.90145,0.97085,0.98588,0.98595,0.80337,0.79353,0.32819,0.90378,8.73768e-05,8.73768e-05,8.73768e-05
45,434.284,0.72123,0.31826,0.90553,0.96788,0.98556,0.98615,0.8106,0.7666,0.31639,0.89596,7.57344e-05,7.57344e-05,7.57344e-05
46,443.042,0.71633,0.31623,0.90594,0.96882,0.98385,0.98654,0.80514,0.76888,0.31542,0.89852,6.4092e-05,6.4092e-05,6.4092e-05
47,451.811,0.69412,0.31114,0.90153,0.96628,0.98477,0.98689,0.80777,0.7639,0.31488,0.89748,5.24496e-05,5.24496e-05,5.24496e-05
48,460.622,0.68664,0.31048,0.89226,0.98205,0.97477,0.98639,0.80627,0.79298,0.31846,0.91058,4.08072e-05,4.08072e-05,4.08072e-05
49,469.594,0.68776,0.30775,0.89313,0.97789,0.98567,0.98669,0.80828,0.77938,0.31071,0.90215,2.91648e-05,2.91648e-05,2.91648e-05
50,478.458,0.6785,0.3028,0.89861,0.96999,0.98574,0.98665,0.80537,0.78191,0.31434,0.90518,1.75224e-05,1.75224e-05,1.75224e-05
